lemma	sentence1	sentence2	label	answer	prompt
Minigolf	d'Schüler ware mat der Klass Minigolf spillen 	direkt niewent eisem Camping war e Minigolf 	different	falsch	"Ass d'Bedeitung vun 'Minigolf' an deenen zwee Sätz identesch? saz1: ""d'Schüler ware mat der Klass Minigolf spillen "" saz2: ""direkt niewent eisem Camping war e Minigolf """
beroden	et ass ee gutt beroden , sech géint d'Feier ze versécheren 	dee Vendeur huet mech gutt beroden 	identical	richteg	"Ass d'Bedeitung vun 'beroden' an deenen zwee Sätz identesch? saz1: ""et ass ee gutt beroden , sech géint d'Feier ze versécheren "" saz2: ""dee Vendeur huet mech gutt beroden """
Dictée	d'Schüler mussen d'Dictéeën an hire Classeur maachen 	eis Joffer huet haut eng ganz schwéier Dictée mat eis gemaach 	different	falsch	"Ass d'Bedeitung vun 'Dictée' an deenen zwee Sätz identesch? saz1: ""d'Schüler mussen d'Dictéeën an hire Classeur maachen "" saz2: ""eis Joffer huet haut eng ganz schwéier Dictée mat eis gemaach """
zerkrazen	wann d'Visière vum Kask zerkraazt ass, gëtt een éischter verblent 	déi louder Kaz huet mer d'Äerm ganz zerkraazt ! 	different	falsch	"Ass d'Bedeitung vun 'zerkrazen' an deenen zwee Sätz identesch? saz1: ""wann d'Visière vum Kask zerkraazt ass, gëtt een éischter verblent "" saz2: ""déi louder Kaz huet mer d'Äerm ganz zerkraazt ! """
oflafen	pass op, d'Mëllech ass ofgelaf ! 	mäi Pass leeft den nächste Mount of 	identical	richteg	"Ass d'Bedeitung vun 'oflafen' an deenen zwee Sätz identesch? saz1: ""pass op, d'Mëllech ass ofgelaf ! "" saz2: ""mäi Pass leeft den nächste Mount of """
passend	mir hunn nach keng passend Geleeënheet fonnt, fir mam Chef ze schwätzen 	d'Doktesch huet déi passend Wierder fonnt, fir d'Kand ze tréischten 	identical	richteg	"Ass d'Bedeitung vun 'passend' an deenen zwee Sätz identesch? saz1: ""mir hunn nach keng passend Geleeënheet fonnt, fir mam Chef ze schwätzen "" saz2: ""d'Doktesch huet déi passend Wierder fonnt, fir d'Kand ze tréischten """
Ikon	an den orthodoxe Kierchen hänke wäertvoll Ikonen 	du muss zweemol op déi Ikon do klicken, fir dat Dokument opzemaachen 	different	falsch	"Ass d'Bedeitung vun 'Ikon' an deenen zwee Sätz identesch? saz1: ""an den orthodoxe Kierchen hänke wäertvoll Ikonen "" saz2: ""du muss zweemol op déi Ikon do klicken, fir dat Dokument opzemaachen """
Sekretär	no der Reunioun schreift de Sekretär e Rapport 	ech hu gëschter d'Funktioun vum Sekretär am Gesangveräin iwwerholl 	identical	richteg	"Ass d'Bedeitung vun 'Sekretär' an deenen zwee Sätz identesch? saz1: ""no der Reunioun schreift de Sekretär e Rapport "" saz2: ""ech hu gëschter d'Funktioun vum Sekretär am Gesangveräin iwwerholl """
d'	ech hunn d'Haus kaaft 	maach d'Fënster zou! 	different	falsch	"Ass d'Bedeitung vun 'd'' an deenen zwee Sätz identesch? saz1: ""ech hunn d'Haus kaaft "" saz2: ""maach d'Fënster zou! """
ergräifen	ech hunn d'Geleeënheet ergraff , fir de Leit Merci ze soen 	et mussen onbedéngt Moossnamen ergraff ginn , déi den Drogenhandel ënnerbannen 	identical	richteg	"Ass d'Bedeitung vun 'ergräifen' an deenen zwee Sätz identesch? saz1: ""ech hunn d'Geleeënheet ergraff , fir de Leit Merci ze soen "" saz2: ""et mussen onbedéngt Moossnamen ergraff ginn , déi den Drogenhandel ënnerbannen """
gräifen	um Concert huet een héieren, datt de Pianist e puermol eng falsch Nout gegraff huet 	et ass beängschtegend, wéi séier dës Krankheet ëm sech gräift 	different	falsch	"Ass d'Bedeitung vun 'gräifen' an deenen zwee Sätz identesch? saz1: ""um Concert huet een héieren, datt de Pianist e puermol eng falsch Nout gegraff huet "" saz2: ""et ass beängschtegend, wéi séier dës Krankheet ëm sech gräift """
gäisselen	mir haten eis gëschter gutt gegäisselt 	si hu sech gegäisselt , fir mam Vëlo de Bierg eropzekommen 	identical	richteg	"Ass d'Bedeitung vun 'gäisselen' an deenen zwee Sätz identesch? saz1: ""mir haten eis gëschter gutt gegäisselt "" saz2: ""si hu sech gegäisselt , fir mam Vëlo de Bierg eropzekommen """
lädéieren	déi lädéiert Still aus der Salle-à-manger ginn alleguer ersat 	der Politikerin hire Ruff gouf duerch de Skandal zimmlech lädéiert 	identical	richteg	"Ass d'Bedeitung vun 'lädéieren' an deenen zwee Sätz identesch? saz1: ""déi lädéiert Still aus der Salle-à-manger ginn alleguer ersat "" saz2: ""der Politikerin hire Ruff gouf duerch de Skandal zimmlech lädéiert """
Ofso	mir wollte bäibauen, mee mer kruten eng Ofso vun der Gemeng 	den Organisateur war enttäuscht iwwer déi kuerzfristeg Ofso vum Pianist 	different	falsch	"Ass d'Bedeitung vun 'Ofso' an deenen zwee Sätz identesch? saz1: ""mir wollte bäibauen, mee mer kruten eng Ofso vun der Gemeng "" saz2: ""den Organisateur war enttäuscht iwwer déi kuerzfristeg Ofso vum Pianist """
eemol	et ass alles eemol ewéi d'anert (Mol), d'Situatioun ass komplett verfuer! 	dem Patient säin Zoustand ass eemol ewéi d'anert (Mol) 	identical	richteg	"Ass d'Bedeitung vun 'eemol' an deenen zwee Sätz identesch? saz1: ""et ass alles eemol ewéi d'anert (Mol), d'Situatioun ass komplett verfuer! "" saz2: ""dem Patient säin Zoustand ass eemol ewéi d'anert (Mol) """
Britt	ech hunn e Batz Fleesch kaaft, fir eng gutt Britt ze kréien 	ech hu meng Britt ! 	identical	richteg	"Ass d'Bedeitung vun 'Britt' an deenen zwee Sätz identesch? saz1: ""ech hunn e Batz Fleesch kaaft, fir eng gutt Britt ze kréien "" saz2: ""ech hu meng Britt ! """
Diplomatie	d'Regierung wëllt eréischt iwwer e militäreschen Asaz nodenken, wann d'Diplomatie versot huet 	an där Affär do feelt et him un där néideger Diplomatie 	different	falsch	"Ass d'Bedeitung vun 'Diplomatie' an deenen zwee Sätz identesch? saz1: ""d'Regierung wëllt eréischt iwwer e militäreschen Asaz nodenken, wann d'Diplomatie versot huet "" saz2: ""an där Affär do feelt et him un där néideger Diplomatie """
ëmbauen	eis Noperen hunn hiert Haus ëmgebaut 	mäi Campingcar ass eng ëmgebaute Camionnette 	identical	richteg	"Ass d'Bedeitung vun 'ëmbauen' an deenen zwee Sätz identesch? saz1: ""eis Noperen hunn hiert Haus ëmgebaut "" saz2: ""mäi Campingcar ass eng ëmgebaute Camionnette """
weiblech	dëst Fréijoer ass d'Moud fir Dammen nees ganz weiblech 	déi weiblech Form vu „Bäcker“ ass „Bäckesch“ 	different	falsch	"Ass d'Bedeitung vun 'weiblech' an deenen zwee Sätz identesch? saz1: ""dëst Fréijoer ass d'Moud fir Dammen nees ganz weiblech "" saz2: ""déi weiblech Form vu „Bäcker“ ass „Bäckesch“ """
Trupp	no der Befreiung duerch déi alliéiert Truppe war d'Land nees onofhängeg 	deen Acteur huet schonn an e puer bekannten Truppe matgespillt 	different	falsch	"Ass d'Bedeitung vun 'Trupp' an deenen zwee Sätz identesch? saz1: ""no der Befreiung duerch déi alliéiert Truppe war d'Land nees onofhängeg "" saz2: ""deen Acteur huet schonn an e puer bekannten Truppe matgespillt """
Mosaier	ech drénke kee Wäin, well ech Mosaier dervu kréien 	ech krut an der Klinick d'Mosaier gemooss 	different	falsch	"Ass d'Bedeitung vun 'Mosaier' an deenen zwee Sätz identesch? saz1: ""ech drénke kee Wäin, well ech Mosaier dervu kréien "" saz2: ""ech krut an der Klinick d'Mosaier gemooss """
nätzen	ech hunn d'Blumme mat der Strenz genat 	op eisem Trëppeltour goufe mer e puermol genat 	identical	richteg	"Ass d'Bedeitung vun 'nätzen' an deenen zwee Sätz identesch? saz1: ""ech hunn d'Blumme mat der Strenz genat "" saz2: ""op eisem Trëppeltour goufe mer e puermol genat """
ausginn	hie gëtt sech iwwerall als Kënschtler aus 	ech ginn am Stot déi mannst Suen aus 	different	falsch	"Ass d'Bedeitung vun 'ausginn' an deenen zwee Sätz identesch? saz1: ""hie gëtt sech iwwerall als Kënschtler aus "" saz2: ""ech ginn am Stot déi mannst Suen aus """
Schëff	déi Kierch huet zwee Schëffer 	däin neien Auto ass e richtegt Schëff 	different	falsch	"Ass d'Bedeitung vun 'Schëff' an deenen zwee Sätz identesch? saz1: ""déi Kierch huet zwee Schëffer "" saz2: ""däin neien Auto ass e richtegt Schëff """
äusseren	de Politiker wëllt sech net zu där Affär äusseren 	wat d'Kris am Osten ugeet, huet den Ausseministère sech nach net geäussert 	identical	richteg	"Ass d'Bedeitung vun 'äusseren' an deenen zwee Sätz identesch? saz1: ""de Politiker wëllt sech net zu där Affär äusseren "" saz2: ""wat d'Kris am Osten ugeet, huet den Ausseministère sech nach net geäussert """
Ochs	dee schwéiere Plou gouf vun zwee Ochse gezunn 	kuck dach, wuer s de trëppels, du Ochs ! 	different	falsch	"Ass d'Bedeitung vun 'Ochs' an deenen zwee Sätz identesch? saz1: ""dee schwéiere Plou gouf vun zwee Ochse gezunn "" saz2: ""kuck dach, wuer s de trëppels, du Ochs ! """
dierängelen	et geet elo duer, du hues mech laang genuch gedierängelt ! 	d'Kanner hunn (mech) de ganzen Dag gedierängelt , fir op d'Spillplaz ze goen 	identical	richteg	"Ass d'Bedeitung vun 'dierängelen' an deenen zwee Sätz identesch? saz1: ""et geet elo duer, du hues mech laang genuch gedierängelt ! "" saz2: ""d'Kanner hunn (mech) de ganzen Dag gedierängelt , fir op d'Spillplaz ze goen """
Minus	mäi Bankkont ass am Minus 	d'Temperature waren hënt am Minus 	identical	richteg	"Ass d'Bedeitung vun 'Minus' an deenen zwee Sätz identesch? saz1: ""mäi Bankkont ass am Minus "" saz2: ""d'Temperature waren hënt am Minus """
haen	ech hunn de ganze Mëtteg Holz gehaen 	wann een dech heet , dann ha en zeréck! 	different	falsch	"Ass d'Bedeitung vun 'haen' an deenen zwee Sätz identesch? saz1: ""ech hunn de ganze Mëtteg Holz gehaen "" saz2: ""wann een dech heet , dann ha en zeréck! """
Uelegsmillen	fiert dëse Bus op d'Uelechsmille(n) bei Chrëschtnech? 	fiert dëse Bus op d'Uelegsmille(n) bei Miedernach? 	different	falsch	"Ass d'Bedeitung vun 'Uelegsmillen' an deenen zwee Sätz identesch? saz1: ""fiert dëse Bus op d'Uelechsmille(n) bei Chrëschtnech? "" saz2: ""fiert dëse Bus op d'Uelegsmille(n) bei Miedernach? """
kieren	kier den Dreck vum Trottoir an de Kullang! 	si kieren den Dreck vun engem Eck an deen aneren 	identical	richteg	"Ass d'Bedeitung vun 'kieren' an deenen zwee Sätz identesch? saz1: ""kier den Dreck vum Trottoir an de Kullang! "" saz2: ""si kieren den Dreck vun engem Eck an deen aneren """
Mamm	déi kleng Muppen drénken nach un der Mamm 	de Schüler huet senger Mamm hir Ënnerschrëft nogemaach 	different	falsch	"Ass d'Bedeitung vun 'Mamm' an deenen zwee Sätz identesch? saz1: ""déi kleng Muppen drénken nach un der Mamm "" saz2: ""de Schüler huet senger Mamm hir Ënnerschrëft nogemaach """
verzielen	eis Gäscht hunn de ganzen Owend lëschteg Geschichte verzielt 	wann s de déi net gleefs, verzielen ech der eng aner 	identical	richteg	"Ass d'Bedeitung vun 'verzielen' an deenen zwee Sätz identesch? saz1: ""eis Gäscht hunn de ganzen Owend lëschteg Geschichte verzielt "" saz2: ""wann s de déi net gleefs, verzielen ech der eng aner """
wackelen	den Hond wackelt mam Schwanz 	kanns du och mat den Ouere wackelen ? 	identical	richteg	"Ass d'Bedeitung vun 'wackelen' an deenen zwee Sätz identesch? saz1: ""den Hond wackelt mam Schwanz "" saz2: ""kanns du och mat den Ouere wackelen ? """
zoudroen	den Zeien huet genee erkläert, wéi dat Ganzt sech zougedroen hat 	d'Informatioune goufen eis anonym zougedroen 	different	falsch	"Ass d'Bedeitung vun 'zoudroen' an deenen zwee Sätz identesch? saz1: ""den Zeien huet genee erkläert, wéi dat Ganzt sech zougedroen hat "" saz2: ""d'Informatioune goufen eis anonym zougedroen """
Këpp	dee klenge Béifchen huet stänneg um Këpp vum Dëschelduch gezunn 	pass op, du schleefs e Këpp vun dengem Mantel iwwer de Buedem! 	identical	richteg	"Ass d'Bedeitung vun 'Këpp' an deenen zwee Sätz identesch? saz1: ""dee klenge Béifchen huet stänneg um Këpp vum Dëschelduch gezunn "" saz2: ""pass op, du schleefs e Këpp vun dengem Mantel iwwer de Buedem! """
Schuel	hien huet eng rau Schuel , awer e mëlle Kär 	d'Jippelche pickt d'Schuel vum Ee vu bannen duerch 	identical	richteg	"Ass d'Bedeitung vun 'Schuel' an deenen zwee Sätz identesch? saz1: ""hien huet eng rau Schuel , awer e mëlle Kär "" saz2: ""d'Jippelche pickt d'Schuel vum Ee vu bannen duerch """
virgoen	d'Schoul geet ëmmer vir 	maach net esou vill Iwwerstonnen, d'Gesondheet geet vir 	identical	richteg	"Ass d'Bedeitung vun 'virgoen' an deenen zwee Sätz identesch? saz1: ""d'Schoul geet ëmmer vir "" saz2: ""maach net esou vill Iwwerstonnen, d'Gesondheet geet vir """
Siicht	déi nei Passerell hëlt den Touristen d'Siicht op d'Kathedral 	op laang Siicht ass dat do keng Léisung 	different	falsch	"Ass d'Bedeitung vun 'Siicht' an deenen zwee Sätz identesch? saz1: ""déi nei Passerell hëlt den Touristen d'Siicht op d'Kathedral "" saz2: ""op laang Siicht ass dat do keng Léisung """
Wollek	et war keng eenzeg Wollek um Himmel 	wéi mer deen ale Schaf opgemaach hunn, ass eis eng Wollek Stëbs entgéintkomm 	different	falsch	"Ass d'Bedeitung vun 'Wollek' an deenen zwee Sätz identesch? saz1: ""et war keng eenzeg Wollek um Himmel "" saz2: ""wéi mer deen ale Schaf opgemaach hunn, ass eis eng Wollek Stëbs entgéintkomm """
Flapp	maach dem Bop nach e Flapp Schlagsan op d'Taart! 	maach kee Flapp an d'Box! 	different	falsch	"Ass d'Bedeitung vun 'Flapp' an deenen zwee Sätz identesch? saz1: ""maach dem Bop nach e Flapp Schlagsan op d'Taart! "" saz2: ""maach kee Flapp an d'Box! """
personifizéieren	dee Kärel ass déi personifizéiert Dommheet! 	hie personifizéiert den duerchschnëttleche Konsument 	identical	richteg	"Ass d'Bedeitung vun 'personifizéieren' an deenen zwee Sätz identesch? saz1: ""dee Kärel ass déi personifizéiert Dommheet! "" saz2: ""hie personifizéiert den duerchschnëttleche Konsument """
Mangel	dëser Schülerin hiren Haaptproblem ass de Mangel u Konzentratioun 	dat neit Gebai huet eng Rei Mängel 	different	falsch	"Ass d'Bedeitung vun 'Mangel' an deenen zwee Sätz identesch? saz1: ""dëser Schülerin hiren Haaptproblem ass de Mangel u Konzentratioun "" saz2: ""dat neit Gebai huet eng Rei Mängel """
verdreiwen	dem Hond säi Gebills ass duergaangen, fir d'Abriecher ze verdreiwen 	déi déck Ierfschaft huet eis Geldsuergen op ee Coup verdriwwen 	identical	richteg	"Ass d'Bedeitung vun 'verdreiwen' an deenen zwee Sätz identesch? saz1: ""dem Hond säi Gebills ass duergaangen, fir d'Abriecher ze verdreiwen "" saz2: ""déi déck Ierfschaft huet eis Geldsuergen op ee Coup verdriwwen """
Schnabbel	wat huet dat eng Schnabbel ! 	säi klengt Meedchen ass eng richteg Schnabbel 	different	falsch	"Ass d'Bedeitung vun 'Schnabbel' an deenen zwee Sätz identesch? saz1: ""wat huet dat eng Schnabbel ! "" saz2: ""säi klengt Meedchen ass eng richteg Schnabbel """
matginn	ech hunn him Sue matginn , fir d'Rechnung ze bezuelen 	däi Brudder huet mir dëse Bréif fir dech matginn 	identical	richteg	"Ass d'Bedeitung vun 'matginn' an deenen zwee Sätz identesch? saz1: ""ech hunn him Sue matginn , fir d'Rechnung ze bezuelen "" saz2: ""däi Brudder huet mir dëse Bréif fir dech matginn """
Litanei	wéi de Riedner endlech mat senger Litanei fäerdeg war, konnten d'Leit Froe stellen 	du erziels ëmmer déi selwecht Litanei 	identical	richteg	"Ass d'Bedeitung vun 'Litanei' an deenen zwee Sätz identesch? saz1: ""wéi de Riedner endlech mat senger Litanei fäerdeg war, konnten d'Leit Froe stellen "" saz2: ""du erziels ëmmer déi selwecht Litanei """
ofschafen	ech hu meng Tëlee ofgeschaaft , ech schafe mer elo eng Bibliothéik un 	mir hunn decidéiert, eisen alen Auto ofzeschafen an en neien ze kafen 	identical	richteg	"Ass d'Bedeitung vun 'ofschafen' an deenen zwee Sätz identesch? saz1: ""ech hu meng Tëlee ofgeschaaft , ech schafe mer elo eng Bibliothéik un "" saz2: ""mir hunn decidéiert, eisen alen Auto ofzeschafen an en neien ze kafen """
léisen	probéier, deng Problemer mat dengen Elteren ze léisen ! 	déi Fro léist sech vum selwen 	identical	richteg	"Ass d'Bedeitung vun 'léisen' an deenen zwee Sätz identesch? saz1: ""probéier, deng Problemer mat dengen Elteren ze léisen ! "" saz2: ""déi Fro léist sech vum selwen """
Noléissegkeet	hien huet aus puerer Noléissegkeet d'Dier opstoe gelooss 	esou Noléissegkeete gi vum Patron net toleréiert 	different	falsch	"Ass d'Bedeitung vun 'Noléissegkeet' an deenen zwee Sätz identesch? saz1: ""hien huet aus puerer Noléissegkeet d'Dier opstoe gelooss "" saz2: ""esou Noléissegkeete gi vum Patron net toleréiert """
Mapp	de Student huet seng Mapp mat den Zeechnungen doheem vergiess 	solle mer dem Papp fir Pappendag net eng nei lieders Mapp schenken? 	different	falsch	"Ass d'Bedeitung vun 'Mapp' an deenen zwee Sätz identesch? saz1: ""de Student huet seng Mapp mat den Zeechnungen doheem vergiess "" saz2: ""solle mer dem Papp fir Pappendag net eng nei lieders Mapp schenken? """
Goût	d'Zooss huet en excellente Goût 	déi Ham huet e Goût ! 	identical	richteg	"Ass d'Bedeitung vun 'Goût' an deenen zwee Sätz identesch? saz1: ""d'Zooss huet en excellente Goût "" saz2: ""déi Ham huet e Goût ! """
zoustoen	déi Invaliderent steet mir zou 	well mir en Deel vun de Lännereie gehéiert, steet mir och en Deel vun der Pacht zou 	identical	richteg	"Ass d'Bedeitung vun 'zoustoen' an deenen zwee Sätz identesch? saz1: ""déi Invaliderent steet mir zou "" saz2: ""well mir en Deel vun de Lännereie gehéiert, steet mir och en Deel vun der Pacht zou """
Fett	an eiser Kantin gëtt nëmme mat planzleche Fetter geschafft 	huel net ze vill Fett , fir d'Fleesch unzebroden! 	identical	richteg	"Ass d'Bedeitung vun 'Fett' an deenen zwee Sätz identesch? saz1: ""an eiser Kantin gëtt nëmme mat planzleche Fetter geschafft "" saz2: ""huel net ze vill Fett , fir d'Fleesch unzebroden! """
Toupet	wat huet dee Borscht en Toupet ! 	fir dem President an d'Ried ze falen, muss ee schonn Toupet hunn! 	identical	richteg	"Ass d'Bedeitung vun 'Toupet' an deenen zwee Sätz identesch? saz1: ""wat huet dee Borscht en Toupet ! "" saz2: ""fir dem President an d'Ried ze falen, muss ee schonn Toupet hunn! """
Rëpp	hien ass vun der Leeder gefall an huet sech dobäi zwou Rëppe getéitscht 	beim Accident huet d'Patientin sech d'Schlësselbeen gebrach an se krut eng Rëpp an d'Long 	identical	richteg	"Ass d'Bedeitung vun 'Rëpp' an deenen zwee Sätz identesch? saz1: ""hien ass vun der Leeder gefall an huet sech dobäi zwou Rëppe getéitscht "" saz2: ""beim Accident huet d'Patientin sech d'Schlësselbeen gebrach an se krut eng Rëpp an d'Long """
Verantwortung	ënnerschreif de Kontrakt roueg, op meng Verantwortung ! 	fir dat Mëssgeschéck iwwerhuelen ech keng Verantwortung 	identical	richteg	"Ass d'Bedeitung vun 'Verantwortung' an deenen zwee Sätz identesch? saz1: ""ënnerschreif de Kontrakt roueg, op meng Verantwortung ! "" saz2: ""fir dat Mëssgeschéck iwwerhuelen ech keng Verantwortung """
Knupp	direkt hanner der Kéier ass eng Knupp an der Strooss 	d'Mauer am Giewel huet eng Knupp 	identical	richteg	"Ass d'Bedeitung vun 'Knupp' an deenen zwee Sätz identesch? saz1: ""direkt hanner der Kéier ass eng Knupp an der Strooss "" saz2: ""d'Mauer am Giewel huet eng Knupp """
produzéieren	verschidde Fabricke produzéieren ze vill Offall 	dës Molkerei produzéiert verschidden Zorte Kéis 	identical	richteg	"Ass d'Bedeitung vun 'produzéieren' an deenen zwee Sätz identesch? saz1: ""verschidde Fabricke produzéieren ze vill Offall "" saz2: ""dës Molkerei produzéiert verschidden Zorte Kéis """
ugräifen	dat Land huet säin Noper ouni Krichserklärung ugegraff 	de Fierschter ass vun enger wëller Sau ugegraff ginn 	identical	richteg	"Ass d'Bedeitung vun 'ugräifen' an deenen zwee Sätz identesch? saz1: ""dat Land huet säin Noper ouni Krichserklärung ugegraff "" saz2: ""de Fierschter ass vun enger wëller Sau ugegraff ginn """
Geschlecht	et ass dacks schwéier, fir bei de Vullen d'Geschlecht ze bestëmmen 	d'Dortoire si streng no Geschlechter getrennt 	identical	richteg	"Ass d'Bedeitung vun 'Geschlecht' an deenen zwee Sätz identesch? saz1: ""et ass dacks schwéier, fir bei de Vullen d'Geschlecht ze bestëmmen "" saz2: ""d'Dortoire si streng no Geschlechter getrennt """
verkleeden	wat ass si nees verkleet ! 	fir op de Fuesbal verkleeden ech mech gär als Banann 	identical	richteg	"Ass d'Bedeitung vun 'verkleeden' an deenen zwee Sätz identesch? saz1: ""wat ass si nees verkleet ! "" saz2: ""fir op de Fuesbal verkleeden ech mech gär als Banann """
Ochs	dee schwéiere Plou gouf vun zwee Ochse gezunn 	hie steet do ewéi den Ochs virum Bierg 	identical	richteg	"Ass d'Bedeitung vun 'Ochs' an deenen zwee Sätz identesch? saz1: ""dee schwéiere Plou gouf vun zwee Ochse gezunn "" saz2: ""hie steet do ewéi den Ochs virum Bierg """
Récksprooch	de Garagist huet mam Client Récksprooch geholl, ier en dat deiert Ersatzstéck bestallt huet 	dat kann ech net eleng decidéieren, do muss ech Récksprooch mat menger Cheffin halen 	identical	richteg	"Ass d'Bedeitung vun 'Récksprooch' an deenen zwee Sätz identesch? saz1: ""de Garagist huet mam Client Récksprooch geholl, ier en dat deiert Ersatzstéck bestallt huet "" saz2: ""dat kann ech net eleng decidéieren, do muss ech Récksprooch mat menger Cheffin halen """
Preiss	d'Finall vun der Weltmeeschterschaft gëtt um Zweete Preiss iwwerdroen 	wann s de den „Tatort“ um Éischte Preiss verpass, kanns de n en nach um Drëtte kucken 	identical	richteg	"Ass d'Bedeitung vun 'Preiss' an deenen zwee Sätz identesch? saz1: ""d'Finall vun der Weltmeeschterschaft gëtt um Zweete Preiss iwwerdroen "" saz2: ""wann s de den „Tatort“ um Éischte Preiss verpass, kanns de n en nach um Drëtte kucken """
Wirtschaft	wéi soll de Stot bei esou enger Wirtschaft senger Scholde lassginn? 	wat ass dat bei deenen eng Wirtschaft ! 	identical	richteg	"Ass d'Bedeitung vun 'Wirtschaft' an deenen zwee Sätz identesch? saz1: ""wéi soll de Stot bei esou enger Wirtschaft senger Scholde lassginn? "" saz2: ""wat ass dat bei deenen eng Wirtschaft ! """
wouer	ass et wouer , datt dir zwee iech wëllt bestueden? 	dee Film baséiert op enger wouerer Geschicht 	different	falsch	"Ass d'Bedeitung vun 'wouer' an deenen zwee Sätz identesch? saz1: ""ass et wouer , datt dir zwee iech wëllt bestueden? "" saz2: ""dee Film baséiert op enger wouerer Geschicht """
Piquet	fir d'Zelt ze spanen, gëtt d'Schnouer an de Piquet agekrämpt 	virun der Paart vun der Schmelz hat d'Gewerkschaft e Piquet placéiert 	different	falsch	"Ass d'Bedeitung vun 'Piquet' an deenen zwee Sätz identesch? saz1: ""fir d'Zelt ze spanen, gëtt d'Schnouer an de Piquet agekrämpt "" saz2: ""virun der Paart vun der Schmelz hat d'Gewerkschaft e Piquet placéiert """
Vakuum	deen onéierleche Geschäftsmann huet jorelaang vun engem juristesche Vakuum profitéiert 	dat selwecht Experiment am Vakuum ergëtt e ganz anert Resultat 	different	falsch	"Ass d'Bedeitung vun 'Vakuum' an deenen zwee Sätz identesch? saz1: ""deen onéierleche Geschäftsmann huet jorelaang vun engem juristesche Vakuum profitéiert "" saz2: ""dat selwecht Experiment am Vakuum ergëtt e ganz anert Resultat """
Harmonie	ier e mam Piano ugefaangen huet, hat e schonn Harmonie geléiert 	déi zwou Harmonië spillen zesummen e Concert 	different	falsch	"Ass d'Bedeitung vun 'Harmonie' an deenen zwee Sätz identesch? saz1: ""ier e mam Piano ugefaangen huet, hat e schonn Harmonie geléiert "" saz2: ""déi zwou Harmonië spillen zesummen e Concert """
ausschloen	d'Nol vum Ampèremeter schléit aus , wann d'Anlag ënner Stroum steet 	de Bouf krut beim Rolzen en Zant ausgeschloen 	different	falsch	"Ass d'Bedeitung vun 'ausschloen' an deenen zwee Sätz identesch? saz1: ""d'Nol vum Ampèremeter schléit aus , wann d'Anlag ënner Stroum steet "" saz2: ""de Bouf krut beim Rolzen en Zant ausgeschloen """
sämtlech	ech hu sämtlech Feeler am Text rout ënnerstrach 	sämtlech kierchlech a weltlech Autoritéiten hunn un de Feierlechkeeten deelgeholl 	different	falsch	"Ass d'Bedeitung vun 'sämtlech' an deenen zwee Sätz identesch? saz1: ""ech hu sämtlech Feeler am Text rout ënnerstrach "" saz2: ""sämtlech kierchlech a weltlech Autoritéiten hunn un de Feierlechkeeten deelgeholl """
Lektioun	hie wousst seng Lektioun auswenneg 	deng Blamage soll der eng Lektioun sinn! 	different	falsch	"Ass d'Bedeitung vun 'Lektioun' an deenen zwee Sätz identesch? saz1: ""hie wousst seng Lektioun auswenneg "" saz2: ""deng Blamage soll der eng Lektioun sinn! """
baken	meng Mamm baakt all Sonndeg 	ech bake fir mäi Liewe gären 	identical	richteg	"Ass d'Bedeitung vun 'baken' an deenen zwee Sätz identesch? saz1: ""meng Mamm baakt all Sonndeg "" saz2: ""ech bake fir mäi Liewe gären """
Reaktioun	kanns de mir de Prinzip vun Aktioun a Reaktioun erklären? 	ech maachen ëmmer eng hefteg Reaktioun op dat Medikament 	different	falsch	"Ass d'Bedeitung vun 'Reaktioun' an deenen zwee Sätz identesch? saz1: ""kanns de mir de Prinzip vun Aktioun a Reaktioun erklären? "" saz2: ""ech maachen ëmmer eng hefteg Reaktioun op dat Medikament """
verflichten	wann s de Member an eisem Veräi bass, bass de (derzou) verflicht , aktiv matzeschaffen 	du kanns gären en Don maachen, mee fill dech net derzou verflicht ! 	identical	richteg	"Ass d'Bedeitung vun 'verflichten' an deenen zwee Sätz identesch? saz1: ""wann s de Member an eisem Veräi bass, bass de (derzou) verflicht , aktiv matzeschaffen "" saz2: ""du kanns gären en Don maachen, mee fill dech net derzou verflicht ! """
Diakon	de Mëtteg ginn an der Kathedral zwee jonk Männer vum Äerzbëschof zum Diakon geweit 	zënter Kuerzem schafft hien hallefdaags als Diakon a geréiert déi karitativ Projete vun eiser Kierchegemeinschaft 	different	falsch	"Ass d'Bedeitung vun 'Diakon' an deenen zwee Sätz identesch? saz1: ""de Mëtteg ginn an der Kathedral zwee jonk Männer vum Äerzbëschof zum Diakon geweit "" saz2: ""zënter Kuerzem schafft hien hallefdaags als Diakon a geréiert déi karitativ Projete vun eiser Kierchegemeinschaft """
ofrënnen	de Verkeefer huet de Präis vum Frigo ofgerënnt 	d'Kanner hu geléiert, d'Dezimalzuelen ofzerënnen 	identical	richteg	"Ass d'Bedeitung vun 'ofrënnen' an deenen zwee Sätz identesch? saz1: ""de Verkeefer huet de Präis vum Frigo ofgerënnt "" saz2: ""d'Kanner hu geléiert, d'Dezimalzuelen ofzerënnen """
